"Title","US Gross","Worldwide Gross","US DVD Sales","Production Budget","Release Date","MPAA Rating","Running Time min","Distributor","Source","Major Genre","Creative Type","Director","Rotten Tomatoes Rating","IMDB Rating","IMDB Votes"
"Apocalypse Now","78800000","78800000","3479242","31500000","Aug 15 1979","R","null","MGM","Based on Book/Short Story","Action","Historical Fiction","Francis Ford Coppola","98","8.6","173141"
"Arachnophobia","53208180","53208180","null","31000000","Jul 18 1990","null","null","Walt Disney Pictures","Original Screenplay","Thriller/Suspense","Science Fiction","Frank Marshall","85","6.2","20528"
"Arn - Tempelriddaren","0","14900000","null","16500000","Dec 25 2007","R","null","null","Based on Book/Short Story","Action","Historical Fiction","null","null","6.4","6251"
"Arnolds Park","23616","23616","null","600000","Oct 19 2007","PG-13","null","The Movie Partners","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","5.1","77"
"Sweet Sweetback's Baad Asssss Song","15200000","15200000","null","150000","Jan 01 1971","null","null","null","null","null","null","null","null","5.6","1769"
"And Then Came Love","8158","8158","null","989000","Jun 01 2007","Not Rated","null","Fox Meadow","null","Comedy","null","null","17","4.4","200"
"Around the World in 80 Days","42000000","42000000","null","6000000","Oct 17 1956","PG","null","United Artists","Based on Book/Short Story","Adventure","null","null","73","5.6","21516"
"Barbarella","0","0","null","9000000","Oct 10 1968","null","null","Paramount Pictures","Based on Comic/Graphic Novel","Adventure","Science Fiction","null","74","5.7","10794"
"Barry Lyndon","20000000","20000000","null","11000000","Dec 31 1974","null","null","Warner Bros.","Based on Book/Short Story","Drama","null","Stanley Kubrick","94","8.1","39909"
"Barbarians, The","800000","800000","null","4000000","Mar 01 1987","null","null","null","null","null","null","null","null","5.4","236"
"Babe","63658910","246100000","null","30000000","Aug 04 1995","G","null","Universal","Based on Book/Short Story","Adventure","Contemporary Fiction","Chris Noonan","98","7.3","35644"
"Boynton Beach Club","3127472","3127472","null","2900000","Mar 24 2006","R","104","Wingate Distribution","Original Screenplay","Romantic Comedy","Contemporary Fiction","null","null","null","null"
"Baby's Day Out","16581575","16581575","null","50000000","Jul 01 1994","PG","null","20th Century Fox","Original Screenplay","Comedy","Contemporary Fiction","Patrick Read Johnson","21","5","8332"
"Bound by Honor","4496583","4496583","null","35000000","Apr 16 1993","null","null","Walt Disney Pictures","Original Screenplay","null","null","Taylor Hackford","null","7.7","10142"
"Bon Cop, Bad Cop","12671300","12671300","null","8000000","Aug 04 2006","Not Rated","null","Alliance","Original Screenplay","Comedy","Contemporary Fiction","null","67","6.9","151"
"Back to the Future","210609762","381109762","null","19000000","Jul 03 1985","null","null","Universal","Original Screenplay","Adventure","Science Fiction","Robert Zemeckis","96","8.4","201598"
"Back to the Future Part II","118450002","332000000","null","40000000","Nov 22 1989","null","null","Universal","Original Screenplay","Adventure","Science Fiction","Robert Zemeckis","64","7.5","87341"
"Back to the Future Part III","87666629","243700000","null","40000000","May 24 1990","null","null","Universal","Original Screenplay","Adventure","Science Fiction","Robert Zemeckis","71","7.1","77541"
"Butch Cassidy and the Sundance Kid","102308900","102308900","null","6000000","Oct 24 1969","null","null","20th Century Fox","null","Western","Historical Fiction","George Roy Hill","90","8.2","57602"
"Bad Boys","65647413","141247413","null","23000000","Apr 07 1995","R","null","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Michael Bay","39","6.6","53929"
"Body Double","8801940","8801940","null","10000000","Oct 26 1984","null","null","Sony/Columbia","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Brian De Palma","84","6.4","9738"
"The Beast from 20,000 Fathoms","5000000","5000000","null","210000","Jun 13 1953","null","null","Warner Bros.","Based on Book/Short Story","null","null","null","90","null","null"
"Beastmaster 2: Through the Portal of Time","773490","773490","null","6000000","Aug 30 1991","null","null","New Line","Based on Book/Short Story","null","Fantasy","null","17","3.3","1327"
"The Beastmaster","10751126","10751126","null","5000000","Aug 20 1982","null","null","MGM","Based on Book/Short Story","Action","Fantasy","null","50","5.7","5734"
"Ben-Hur","9000000","9000000","null","3900000","Dec 30 2025","null","null","MGM","Based on Book/Short Story","Adventure","null","null","null","8.2","58510"
"Ben-Hur","73000000","73000000","null","15000000","Nov 18 1959","null","null","MGM","Based on Book/Short Story","Adventure","null","William Wyler","91","8.2","58510"
"Benji","31559560","31559560","null","500000","Nov 15 1974","null","null","null","Original Screenplay","Adventure","null","null","83","5.8","1801"
"Before Sunrise","5274005","5274005","null","2500000","Jan 27 1995","R","null","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","Richard Linklater","100","8","39705"
"Beauty and the Beast","171340294","403476931","null","20000000","Nov 13 1991","G","null","Walt Disney Pictures","Based on Book/Short Story","Musical","Fantasy","Gary Trousdale","93","3.4","354"
"The Best Years of Our Lives","23600000","23600000","null","2100000","Nov 21 2046","null","null","RKO Radio Pictures","Based on Book/Short Story","Drama","null","William Wyler","97","8.2","17338"
"The Ballad of Gregorio Cortez","909000","909000","null","1305000","Aug 19 1983","null","null","Embassy","Based on Book/Short Story","Western","Historical Fiction","null","null","null","null"
"My Big Fat Independent Movie","4655","4655","null","3000000","Sep 30 2005","R","null","Big Fat Movies","null","Comedy","Contemporary Fiction","null","23","3.2","1119"
"Battle for the Planet of the Apes","8800000","8800000","null","1800000","Dec 31 1972","null","null","20th Century Fox","null","null","Science Fiction","Jack Lee Thompson","38","5","6094"
"Big Things","0","0","null","50000","Dec 31 2009","null","null","null","null","null","null","null","null","null","null"
"Bogus","4357406","4357406","null","32000000","Sep 06 1996","PG","null","Warner Bros.","Original Screenplay","Comedy","Fantasy","Norman Jewison","40","4.8","2742"
"Beverly Hills Cop","234760478","316300000","null","15000000","Dec 05 1984","null","null","Paramount Pictures","Original Screenplay","Action","Contemporary Fiction","Martin Brest","83","7.3","45065"
"Beverly Hills Cop II","153665036","276665036","null","20000000","May 20 1987","R","null","Paramount Pictures","Original Screenplay","Action","Contemporary Fiction","Tony Scott","46","6.1","29712"
"Beverly Hills Cop III","42586861","119180938","null","50000000","May 25 1994","R","null","Paramount Pictures","Original Screenplay","Action","Contemporary Fiction","John Landis","10","5","21199"
"The Black Hole","35841901","35841901","null","20000000","Dec 21 1979","null","null","Walt Disney Pictures","Original Screenplay","null","Science Fiction","null","42","5.6","7810"
"Bathory","0","3436763","null","15000000","Jul 10 2008","null","null","null","null","null","null","null","null","6.1","1446"
"Big","114968774","151668774","null","18000000","Jun 03 1988","null","null","20th Century Fox","Original Screenplay","Comedy","Fantasy","Penny Marshall","96","7.2","49256"
"The Big Parade","11000000","22000000","null","245000","Jan 01 2025","null","null","MGM","Based on Play","Drama","null","King Vidor","100","8.4","2600"
"Boyz n the Hood","56190094","56190094","null","6500000","Jul 12 1991","null","null","Sony Pictures","Original Screenplay","Drama","Contemporary Fiction","John Singleton","98","7.8","30299"
"The Book of Mormon Movie, Volume 1: The Journey","1660865","1660865","null","2000000","Sep 12 2003","PG","null","Distributor Unknown","Based on Book/Short Story","Drama","Historical Fiction","null","null","null","null"
"Return to the Blue Lagoon","2000000","2000000","null","11000000","Dec 31 1990","null","null","null","null","null","null","null","null","4.3","4632"
"Bright Lights, Big City","16118077","16118077","null","25000000","Apr 01 1988","R","null","United Artists","Based on Book/Short Story","Drama","Contemporary Fiction","null","61","6.8","11929"
"The Blue Bird","887000","887000","null","1200000","Dec 31 1975","null","null","20th Century Fox","Based on Play","null","Fantasy","George Cukor","null","4.9","359"
"The Blue Butterfly","1610194","1610194","null","10400000","Feb 20 2004","PG","null","Alliance","Original Screenplay","Drama","Contemporary Fiction","null","44","6.2","817"
"Blade Runner","32656328","33139618","null","28000000","Jun 25 1982","R","null","Warner Bros.","Based on Book/Short Story","Thriller/Suspense","Science Fiction","Ridley Scott","92","8.3","185546"
"Bloodsport","11806119","11806119","null","1500000","Feb 26 1988","null","null","Cannon","Original Screenplay","Action","Contemporary Fiction","null","null","6.2","19816"
"The Blues Brothers","57229890","57229890","null","27000000","Jun 20 1980","null","null","Universal","Original Screenplay","Musical","Contemporary Fiction","John Landis","84","7.9","62941"
"Blow Out","13747234","13747234","null","18000000","Jul 24 1981","null","null","Filmways Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Brian De Palma","89","7.1","10239"
"De battre mon coeur s'est arrÍtÈ","1023424","8589831","null","5500000","Jul 01 2005","Not Rated","null","WellSpring","Original Screenplay","Drama","Contemporary Fiction","null","null","7.3","7295"
"The Broadway Melody","2800000","4358000","null","379000","Dec 31 1928","null","null","MGM","Original Screenplay","Musical","null","null","38","6.7","2017"
"Boom Town","9172000","9172000","null","2000000","Dec 31 1939","null","null","MGM","Original Screenplay","null","null","null","null","7.1","1115"
"Bound","3802260","6300000","null","4500000","Oct 04 1996","R","null","Gramercy","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Andy Wachowski","88","7.4","23564"
"Bang","527","527","null","10000","Apr 01 1996","null","null","JeTi Films","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Jeff """"King Jeff"""" Hollins","null","6.3","369"
"Bananas","null","null","null","2000000","Apr 28 1971","PG-13","null","MGM","Original Screenplay","Comedy","null","Woody Allen","89","7.1","12415"
"Bill & Ted's Bogus Journey","37537675","37537675","null","20000000","Jul 19 1991","null","null","Orion Pictures","Original Screenplay","Comedy","Fantasy","Peter Hewitt","58","5.8","20188"
"The Birth of a Nation","10000000","11000000","null","110000","Feb 08 2015","null","null","null","Based on Book/Short Story","Drama","null","null","100","7.1","8901"
"The Ballad of Cable Hogue","3500000","5000000","null","3716946","May 13 1970","null","null","Warner Bros.","Original Screenplay","Western","Historical Fiction","Sam Peckinpah","92","7.3","3125"
"The Blood of Heroes","882290","882290","null","7700000","Feb 23 1990","null","null","New Line","Original Screenplay","Action","null","null","null","6.2","2523"
"The Blood of My Brother: A Story of Death in Iraq","0","0","null","120000","Jun 30 2006","null","null","Lifesize Entertainment","Based on Real Life Events","Documentary","Factual","null","71","7.6","90"
"Boomerang","70052444","131052444","null","42000000","Jul 01 1992","null","null","Paramount Pictures","Original Screenplay","Comedy","Contemporary Fiction","null","37","5.9","202"
"The Bridge on the River Kwai","33300000","33300000","null","3000000","Dec 18 1957","null","null","Sony/Columbia","Based on Book/Short Story","Drama","null","David Lean","95","8.4","58641"
"Born on the Fourth of July","70001698","70001698","null","14000000","Dec 20 1989","null","null","Universal","Based on Book/Short Story","Drama","Dramatization","Oliver Stone","89","7.2","32108"
"Basquiat","2962051","2962051","null","3000000","Aug 09 1996","R","null","Miramax","Based on Real Life Events","Drama","Dramatization","Julian Schnabel","69","6.7","7935"
"Black Rain","45892212","45892212","null","30000000","Sep 22 1989","null","null","Paramount Pictures","Original Screenplay","Thriller/Suspense","Contemporary Fiction","Ridley Scott","57","4.1","137"
"Bottle Rocket","407488","407488","null","5000000","Feb 21 1996","R","null","Sony Pictures","Based on Short Film","Adventure","null","Wes Anderson","79","7.2","21980"
"Braindead","242623","242623","null","3000000","Feb 12 1993","null","null","Trimark","Original Screenplay","Horror","null","Peter Jackson","null","7.6","32827"
"The Bridges of Madison County","71516617","175516617","null","22000000","Jun 02 1995","PG-13","null","Warner Bros.","Based on Book/Short Story","Drama","Historical Fiction","Clint Eastwood","90","7.2","21923"
"The Brothers McMullen","10426506","10426506","null","25000","Aug 09 1995","R","null","Fox Searchlight","Original Screenplay","Drama","Contemporary Fiction","Edward Burns","91","6.4","4365"
"Dracula","82522790","215862692","null","40000000","Nov 13 1992","R","null","Sony Pictures","Based on Book/Short Story","Horror","Fantasy","Francis Ford Coppola","null","6.4","136"
"Broken Arrow","70645997","148345997","null","65000000","Feb 09 1996","R","108","20th Century Fox","Original Screenplay","Action","Contemporary Fiction","John Woo","55","5.8","33584"
"Brainstorm","8921050","8921050","null","15000000","Sep 30 1983","null","null","MGM","Based on Book/Short Story","Thriller/Suspense","Science Fiction","null","64","6.3","4410"
"Braveheart","75545647","209000000","null","72000000","May 24 1995","R","null","Paramount Pictures","Based on Real Life Events","Drama","Dramatization","Mel Gibson","77","8.4","240642"
"Les BronzÈs 3: amis pour la vie","0","83833602","null","42000000","Feb 01 2006","null","null","null","null","Comedy","Contemporary Fiction","null","null","4.4","1254"
"Brazil","9929135","9929135","null","15000000","Dec 18 1985","R","136","Universal","Original Screenplay","Black Comedy","Fantasy","Terry Gilliam","98","8","76635"
"Blazing Saddles","119500000","119500000","null","2600000","Jan 01 1974","null","null","Warner Bros.","Original Screenplay","Comedy","null","Mel Brooks","89","7.8","45771"
"The Basket","609042","609042","null","1300000","May 05 2000","PG","null","MGM","Original Screenplay","Drama","null","null","null","6.3","343"
"Bathing Beauty","3500000","3500000","null","2361000","Dec 31 1943","null","null","MGM","Original Screenplay","Musical","null","null","null","6.2","487"
"Bill & Ted's Excellent Adventure","39916091","39916091","null","10000000","Feb 17 1989","null","null","Orion Pictures","Original Screenplay","Comedy","Science Fiction","Stephen Herek","81","6.7","30341"
"A Bridge Too Far","50800000","50800000","null","26000000","Jun 15 1977","null","null","MGM","Based on Book/Short Story","Action","null","Sir Richard Attenborough","67","7.3","16882"
"Beetle Juice","73326666","73326666","null","15000000","Mar 30 1988","null","null","Warner Bros.","Original Screenplay","Comedy","Fantasy","Tim Burton","null","7.3","61197"
"Batman Returns","162831698","266822354","null","80000000","Jun 18 1992","PG-13","null","Warner Bros.","Original Screenplay","Action","Super Hero","Tim Burton","78","6.9","78673"
"Batman Forever","184031112","336529144","null","100000000","Jun 16 1995","PG-13","null","Warner Bros.","Original Screenplay","Action","Super Hero","Joel Schumacher","43","5.4","76218"
"Batman - The Movie","0","0","null","1377800","Aug 21 2001","null","null","null","null","null","null","null","null","null","null"
"Batman","251188924","411348924","null","35000000","Jun 23 1989","PG-13","null","Warner Bros.","Based on Comic/Graphic Novel","Action","Super Hero","Tim Burton","71","7.6","111464"
"Buffy the Vampire Slayer","14231669","14231669","null","7000000","Jul 31 1992","null","null","20th Century Fox","Original Screenplay","Horror","Fantasy","null","32","5.3","16056"
"Bienvenue chez les Ch'tis","1470856","243470856","null","16000000","Jul 25 2008","Not Rated","109","Link Productions Ltd.","Original Screenplay","Comedy","Contemporary Fiction","null","null","7","7129"
"Beyond the Valley of the Dolls","9000000","9000000","null","1000000","Jan 01 1970","null","null","20th Century Fox","Original Screenplay","Comedy","null","null","68","5.7","4626"
"Broken Vessels","15030","85343","null","600000","Jul 02 1999","R","null","null","Original Screenplay","Drama","null","null","null","6.4","399"
"The Boys from Brazil","19000000","19000000","null","12000000","Dec 31 1977","null","null","20th Century Fox","Based on Book/Short Story","Thriller/Suspense","null","Franklin J. Schaffner","65","7","8741"
"The Business of Fancy Dancing","174682","174682","null","200000","May 10 2002","Not Rated","null","Outrider Pictures","Original Screenplay","Drama","Contemporary Fiction","null","null","7","355"
"Caddyshack","39846344","39846344","null","6000000","Jul 25 1980","null","null","Warner Bros.","Original Screenplay","Comedy","Contemporary Fiction","Harold Ramis","75","7.3","35436"
"Cape Fear","79091969","182291969","null","35000000","Nov 15 1991","R","null","Universal","Remake","Thriller/Suspense","Contemporary Fiction","Martin Scorsese","76","7.3","47196"
"Clear and Present Danger","122012656","207500000","null","62000000","Aug 03 1994","PG-13","null","Paramount Pictures","Based on Book/Short Story","Action","Contemporary Fiction","Phillip Noyce","78","6.8","29612"
"Carrie","25878153","25878153","null","1800000","Nov 16 1976","null","null","MGM","Based on Book/Short Story","Horror","Contemporary Fiction","Brian De Palma","90","7.4","38767"
"Casino Royale","22744718","41744718","null","12000000","Apr 28 1967","null","null","Sony Pictures","Based on Book/Short Story","Comedy","Contemporary Fiction","John Huston","30","8","172936"
"Camping Sauvage","3479302","3479302","null","4600000","Jul 16 2004","Not Rated","null","Alliance","Original Screenplay","Comedy","Contemporary Fiction","null","null","6","378"
"The Cotton Club","25928721","25928721","null","48000000","Dec 14 1984","null","null","Orion Pictures","Original Screenplay","Drama","Historical Fiction","Francis Ford Coppola","74","6.3","6940"
"Crop Circles: Quest for Truth","0","0","null","600000","Aug 23 2002","null","null","null","null","null","null","null","60","7.1","153"
"Close Encounters of the Third Kind","166000000","337700000","null","20000000","Nov 16 1977","null","null","Sony Pictures","Original Screenplay","Adventure","Science Fiction","Steven Spielberg","95","7.8","59049"
"The Cable Guy","60240295","102825796","null","47000000","Jun 14 1996","PG-13","95","Sony Pictures","Original Screenplay","Comedy","Contemporary Fiction","Ben Stiller","52","5.8","51109"
"Chocolate: Deep Dark Secrets","49000","1549000","null","1000000","Sep 16 2005","Not Rated","null","Eros Entertainment","Original Screenplay","Thriller/Suspense","Contemporary Fiction","null","null","4.6","527"
"Child's Play","33244684","44196684","null","9000000","Nov 09 1988","null","null","United Artists","Original Screenplay","Horror","Fantasy","null","70","6.3","16165"
"Child's Play 2","26904572","34166572","null","13000000","Nov 09 1990","null","null","Universal","Original Screenplay","Horror","Fantasy","null","38","5.1","8666"
"Chain Reaction","21226204","60209334","null","55000000","Aug 02 1996","PG-13","106","20th Century Fox","Original Screenplay","Action","Contemporary Fiction","Andrew Davis","13","5.2","15817"
"Charly","814666","814666","null","950000","Sep 27 2002","PG","null","Excel Entertainment","Based on Book/Short Story","Drama","Contemporary Fiction","null","null","5.8","60"
"Chariots of Fire","57159946","57159946","null","5500000","Sep 25 1981","null","null","Sony Pictures","Based on Real Life Events","Drama","Dramatization","Hugh Hudson","86","7.3","16138"
"A Christmas Story","19294144","19294144","null","3250000","Nov 18 1983","PG","null","MGM","Based on Book/Short Story","Comedy","Historical Fiction","null","88","8","51757"
"Cat on a Hot Tin Roof","17570324","17570324","null","3000000","Sep 20 1958","null","null","MGM","Based on Play","Drama","Contemporary Fiction","Richard Brooks","100","8","14540"
"C.H.U.D.","4700000","4700000","null","1250000","Aug 31 1984","null","null","New World","Original Screenplay","Horror","Fantasy","null","null","5","2806"
"Charge of the Light Brigade, The","0","0","null","1200000","Oct 20 2036","null","null","Warner Bros.","Based on Real Life Events","Action","Dramatization","Michael Curtiz","null","null","null"
"Crooklyn","13024170","13024170","null","14000000","May 13 1994","PG-13","null","Universal","Original Screenplay","Comedy","Historical Fiction","Spike Lee","75","6.5","3137"
"Festen","1647780","1647780","null","1300000","Oct 09 1998","R","null","October Films","Original Screenplay","Comedy","Contemporary Fiction","Thomas Vinterberg","null","8.1","26607"
"Cleopatra","48000000","62000000","null","36000000","Jun 12 1963","null","null","20th Century Fox","Based on Real Life Events","Drama","Dramatization","null","40","6.8","7870"
"Cliffhanger","84049211","255000000","null","65000000","May 28 1993","null","null","Sony Pictures","Original Screenplay","Action","Contemporary Fiction","Renny Harlin","82","6.2","34447"
"The Californians","4134","4134","null","500000","Oct 21 2005","PG","null","Fabrication Films","Original Screenplay","Drama","Contemporary Fiction","null","null","5.1","226"
